Order ID , Order Item ID , Order YearMonth , Order Year , Order Month , Order Day ,Order Time,Order Quantity,Product Department,Product Category,Product Name, Customer ID ,Customer Market,Customer Region,Customer Country,Warehouse Country,Shipment Year,Shipment Month,Shipment Day,Shipment Mode, Shipment Days - Scheduled , Gross Sales , Discount % , Profit ,date,date_order,date_ship,Temps de traitements Commande-Livraison (Jours)
376,938,201501,2015,1,6,11:22,4,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,1369,LATAM,Caribbean,Dominican�Republic,Puerto Rico,2017,4,27,Second Class,2,240,0.02,147,06/01/2015,06/01/2015,27/04/2017,842
378,942,201501,2015,1,6,12:04,1,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,10071,LATAM,Central America,Mexico,USA,2015,1,10,Second Class,2,50,0.07,125,06/01/2015,06/01/2015,10/01/2015,4
393,978,201501,2015,1,6,17:20,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,1047,LATAM,Caribbean,Dominican�Republic,Puerto Rico,2015,1,10,Standard Class,4,300,0.05,150,06/01/2015,06/01/2015,10/01/2015,4
395,980,201501,2015,1,6,18:02,4,Footwear,Cardio Equipment,Nike Women's Tempo Shorts,3934,LATAM,Caribbean,Dominican�Republic,USA,2015,1,12,Standard Class,4,120,0.12,55,06/01/2015,06/01/2015,12/01/2015,6
396,981,201501,2015,1,6,18:23,4,Fitness,Hockey,Nike Dri-FIT Crew Sock 6 Pack,9078,LATAM,Caribbean,Dominican�Republic,USA,2015,1,8,Standard Class,4,88,  -  ,36,06/01/2015,06/01/2015,08/01/2015,2
398,985,201501,2015,1,6,19:05,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,1365,LATAM,Central America,Mexico,USA,2015,1,10,Standard Class,4,300,0.04,150,06/01/2015,06/01/2015,10/01/2015,4
413,1025,201501,2015,1,7,18:54,1,Fan Shop,Water Sports,Pelican Sunstream 100 Kayak,7278,LATAM,South America,Uruguay,USA,2015,1,9,Standard Class,4,200,0.04,100,07/01/2015,07/01/2015,09/01/2015,2
415,1033,201501,2015,1,7,01:02,1,Outdoors,Golf Balls,Hirzl Women's Soffft Flex Golf Glove,6110,LATAM,Central America,El Salvador,USA,2015,1,9,First Class,1,18,0.12,42,07/01/2015,07/01/2015,09/01/2015,2
416,1035,201501,2015,1,7,01:23,1,Fan Shop,Water Sports,Pelican Sunstream 100 Kayak,1561,LATAM,Central America,El Salvador,USA,2015,1,9,First Class,1,200,0.02,100,07/01/2015,07/01/2015,09/01/2015,2
418,1043,201501,2015,1,7,02:05,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,4269,LATAM,South America,Argentina,USA,2015,1,7,Same Day,3,400,0.1,200,07/01/2015,07/01/2015,07/01/2015,0
433,1076,201501,2015,1,7,07:20,3,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,792,LATAM,Central America,Honduras,Puerto Rico,2015,1,11,Second Class,2,150,0.15,125,07/01/2015,07/01/2015,11/01/2015,4
436,1079,201501,2015,1,7,08:24,2,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,7610,LATAM,Central America,El Salvador,USA,2015,1,9,Standard Class,4,80,0.07,97,07/01/2015,07/01/2015,09/01/2015,2
438,1084,201501,2015,1,7,09:06,2,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,8256,LATAM,South America,Argentina,USA,2016,10,30,Standard Class,4,120,0.06,147,07/01/2015,07/01/2015,30/10/2016,662
453,1110,201501,2015,1,7,14:21,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,381,LATAM,Central America,Mexico,USA,2015,1,11,Standard Class,4,400,0.01,200,07/01/2015,07/01/2015,11/01/2015,4
455,1113,201501,2015,1,7,15:03,3,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,6575,LATAM,Central America,Mexico,USA,2015,1,13,Standard Class,4,120,0.09,97,07/01/2015,07/01/2015,13/01/2015,6
456,1117,201501,2015,1,7,15:24,1,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,11295,LATAM,Caribbean,Cuba,USA,2015,1,9,Standard Class,4,130,0.01,65,07/01/2015,07/01/2015,09/01/2015,2
458,1121,201501,2015,1,7,16:06,1,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,5358,LATAM,South America,Colombia,USA,2015,1,11,Standard Class,4,60,0.25,147,07/01/2015,07/01/2015,11/01/2015,4
473,1158,201501,2015,1,7,21:21,5,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,5359,LATAM,Central America,Guatemala,USA,2016,4,10,Standard Class,4,300,0.02,147,07/01/2015,07/01/2015,10/04/2016,459
475,1166,201501,2015,1,7,22:03,5,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,4567,LATAM,South America,Colombia,Puerto Rico,2015,1,13,Standard Class,4,500,0.04,245,07/01/2015,07/01/2015,13/01/2015,6
476,1168,201501,2015,1,7,22:24,1,Fan Shop,Water Sports,Pelican Sunstream 100 Kayak,6020,LATAM,South America,Colombia,Puerto Rico,2015,1,9,Standard Class,4,200,0.07,100,07/01/2015,07/01/2015,09/01/2015,2
478,1174,201501,2015,1,7,23:06,1,Fan Shop,Water Sports,Pelican Sunstream 100 Kayak,7657,LATAM,South America,Colombia,USA,2015,1,11,Second Class,2,200,0.04,100,07/01/2015,07/01/2015,11/01/2015,4
493,1214,201501,2015,1,8,04:22,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1180,LATAM,South America,Chile,USA,2015,1,12,Second Class,2,400,0.06,200,08/01/2015,08/01/2015,12/01/2015,4
495,1220,201501,2015,1,8,05:04,2,Outdoors,Golf Shoes,LIJA Women's Eyelet Sleeveless Golf Polo,7242,LATAM,Central America,Mexico,USA,2015,2,10,Standard Class,4,130,0.03,143,08/01/2015,08/01/2015,10/02/2015,33
496,1225,201501,2015,1,8,05:25,1,Outdoors,Electronics,Titleist Pro V1 High Numbers Personalized Gol,615,LATAM,Caribbean,Cuba,USA,2015,1,10,Standard Class,4,52,0.01,100,08/01/2015,08/01/2015,10/01/2015,2
498,1229,201501,2015,1,8,06:07,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,6828,LATAM,Caribbean,Cuba,USA,2015,1,12,Standard Class,4,300,0.16,150,08/01/2015,08/01/2015,12/01/2015,4
513,1272,201501,2015,1,8,11:22,2,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,10479,LATAM,Caribbean,Cuba,Puerto Rico,2015,1,12,Standard Class,4,120,0.03,147,08/01/2015,08/01/2015,12/01/2015,4
515,1275,201501,2015,1,3,08:03,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,5921,LATAM,Caribbean,Cuba,Puerto Rico,2015,1,5,Standard Class,4,400,0.25,200,03/01/2015,03/01/2015,05/01/2015,2
516,1276,201501,2015,1,8,12:25,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,9204,LATAM,Caribbean,Cuba,Puerto Rico,2015,1,10,Standard Class,4,200,0.12,125,08/01/2015,08/01/2015,10/01/2015,2
518,1284,201701,2017,1,1,10:21,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,5257,LATAM,Central America,Panama,USA,2017,1,2,Standard Class,4,300,0.1,150,01/01/2017,01/01/2017,02/01/2017,1
535,1325,201501,2015,1,8,19:05,5,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,66,LATAM,South America,Brazil,Puerto Rico,2015,1,14,Standard Class,4,300,0.18,147,08/01/2015,08/01/2015,14/01/2015,6
536,1330,201501,2015,1,8,19:26,1,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,9981,LATAM,South America,Brazil,USA,2017,3,22,Standard Class,4,40,0.18,97,08/01/2015,08/01/2015,22/03/2017,804
538,1339,201501,2015,1,6,19:26,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,4871,LATAM,South America,Brazil,Puerto Rico,2015,1,11,Standard Class,4,400,0.09,200,06/01/2015,06/01/2015,11/01/2015,5
555,1386,201501,2015,1,9,02:05,2,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,976,LATAM,Central America,Mexico,Puerto Rico,2017,2,25,Standard Class,4,200,0.18,245,09/01/2015,09/01/2015,25/02/2017,778
556,1387,201501,2015,1,4,16:38,2,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,7838,LATAM,Central America,Mexico,Puerto Rico,2015,1,9,First Class,1,100,0.25,125,04/01/2015,04/01/2015,09/01/2015,5
558,1395,201708,2017,8,18,01:48,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,4562,LATAM,Central America,Mexico,Puerto Rico,2017,8,24,First Class,1,400,0.04,200,18/08/2017,18/08/2017,24/08/2017,6
575,1419,201501,2015,1,9,09:05,5,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,2873,LATAM,South America,Brazil,Puerto Rico,2015,1,15,Second Class,2,250,0.16,125,09/01/2015,09/01/2015,15/01/2015,6
593,1453,201501,2015,1,9,15:24,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,6667,LATAM,South America,Per�,Puerto Rico,2017,4,2,Standard Class,4,300,0.2,150,09/01/2015,09/01/2015,02/04/2017,814
595,1459,201501,2015,1,9,16:06,5,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,3531,LATAM,South America,Per�,USA,2015,1,15,Standard Class,4,200,0.09,97,09/01/2015,09/01/2015,15/01/2015,6
596,1464,201501,2015,1,9,16:27,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,8352,LATAM,South America,Per�,USA,2015,1,11,Standard Class,4,400,0.16,200,09/01/2015,09/01/2015,11/01/2015,2
613,1495,201501,2015,1,9,22:24,2,Outdoors,Electronics,Bridgestone e6 Straight Distance NFL Carolina,460,LATAM,Central America,Mexico,USA,2015,1,13,Standard Class,4,64,0.2,73,09/01/2015,09/01/2015,13/01/2015,4
615,1503,201501,2015,1,9,23:06,1,Outdoors,Golf Balls,Hirzl Women's Soffft Flex Golf Glove,2827,LATAM,South America,Brazil,Puerto Rico,2015,1,15,Standard Class,4,18,0.1,42,09/01/2015,09/01/2015,15/01/2015,6
616,1504,201501,2015,1,9,23:27,2,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,11330,LATAM,South America,Brazil,USA,2015,8,31,Standard Class,4,120,0.18,147,09/01/2015,09/01/2015,31/08/2015,234
